ID,condition,freq,phase
1,H_unsyncopated,0.417,-1.685052
1,H_unsyncopated,0.833,0.304793
1,H_unsyncopated,1.250,0.333793
1,H_unsyncopated,1.667,1.195913
1,H_unsyncopated,2.083,0.258783
1,H_unsyncopated,2.500,0.908576
1,H_unsyncopated,2.917,-1.495325
1,H_unsyncopated,3.333,0.839718
1,H_unsyncopated,3.750,0.992059
1,H_unsyncopated,4.167,-1.032852
1,H_unsyncopated,4.583,1.073058
1,H_unsyncopated,5.000,-0.161861
2,H_unsyncopated,0.417,-1.700317
2,H_unsyncopated,0.833,-1.599442
2,H_unsyncopated,1.250,1.093895
2,H_unsyncopated,1.667,0.553405
2,H_unsyncopated,2.083,0.141055
2,H_unsyncopated,2.500,2.015446
2,H_unsyncopated,2.917,-1.595746
2,H_unsyncopated,3.333,0.857742
2,H_unsyncopated,3.750,1.669546
2,H_unsyncopated,4.167,1.600134
2,H_unsyncopated,4.583,-0.540795
2,H_unsyncopated,5.000,-0.236120
3,H_unsyncopated,0.417,1.079301
3,H_unsyncopated,0.833,-0.761557
3,H_unsyncopated,1.250,0.258254
3,H_unsyncopated,1.667,-1.928682
3,H_unsyncopated,2.083,-1.642148
3,H_unsyncopated,2.500,0.022816
3,H_unsyncopated,2.917,1.598943
3,H_unsyncopated,3.333,0.885617
3,H_unsyncopated,3.750,0.211081
3,H_unsyncopated,4.167,-2.115493
3,H_unsyncopated,4.583,2.353138
3,H_unsyncopated,5.000,-0.379383
4,H_unsyncopated,0.417,-0.093849
4,H_unsyncopated,0.833,-0.797877
4,H_unsyncopated,1.250,1.716496
4,H_unsyncopated,1.667,1.373536
4,H_unsyncopated,2.083,-0.610542
4,H_unsyncopated,2.500,1.030136
4,H_unsyncopated,2.917,-0.408132
4,H_unsyncopated,3.333,-1.502803
4,H_unsyncopated,3.750,1.463896
4,H_unsyncopated,4.167,-1.145364
4,H_unsyncopated,4.583,0.380423
4,H_unsyncopated,5.000,1.111888
5,H_unsyncopated,0.417,-2.148250
5,H_unsyncopated,0.833,2.061654
5,H_unsyncopated,1.250,0.055819
5,H_unsyncopated,1.667,-1.848423
5,H_unsyncopated,2.083,1.621637
5,H_unsyncopated,2.500,0.934516
5,H_unsyncopated,2.917,-0.928525
5,H_unsyncopated,3.333,2.711030
5,H_unsyncopated,3.750,1.509306
5,H_unsyncopated,4.167,-0.557006
5,H_unsyncopated,4.583,-0.738601
5,H_unsyncopated,5.000,-1.591596
6,H_unsyncopated,0.417,2.814303
6,H_unsyncopated,0.833,0.356690
6,H_unsyncopated,1.250,1.277163
6,H_unsyncopated,1.667,-1.296887
6,H_unsyncopated,2.083,1.804455
6,H_unsyncopated,2.500,1.408029
6,H_unsyncopated,2.917,-0.913816
6,H_unsyncopated,3.333,-1.102241
6,H_unsyncopated,3.750,1.296866
6,H_unsyncopated,4.167,-0.978438
6,H_unsyncopated,4.583,1.678615
