"ID","condition","binshift","freq","r"
"1","H_unsyncopated","0","0.417","0.554093"
"1","H_unsyncopated","0","0.833","0.497278"
"1","H_unsyncopated","0","1.25","0.898598"
"1","H_unsyncopated","0","1.667","0.768613"
"1","H_unsyncopated","0","2.083","0.480847"
"1","H_unsyncopated","0","2.5","0.401412"
"1","H_unsyncopated","0","2.917","0.54419"
"1","H_unsyncopated","0","3.333","0.536339"
"1","H_unsyncopated","0","3.75","0.819754"
"1","H_unsyncopated","0","4.167","0.259271"
"1","H_unsyncopated","0","4.583","0.28869"
"1","H_unsyncopated","0","5","0.890092"
"1","H_unsyncopated","-20","0.417","0.652546"
"1","H_unsyncopated","-20","0.833","0.449508"
"1","H_unsyncopated","-20","1.25","0.398487"
"1","H_unsyncopated","-20","1.667","0.489775"
"1","H_unsyncopated","-20","2.083","0.214175"
"1","H_unsyncopated","-20","2.5","0.58757"
"1","H_unsyncopated","-20","2.917","0.792913"
"1","H_unsyncopated","-20","3.333","0.523071"
"1","H_unsyncopated","-20","3.75","0.221504"
"1","H_unsyncopated","-20","4.167","0.666298"
"1","H_unsyncopated","-20","4.583","0.325119"
"1","H_unsyncopated","-20","5","0.229435"
"1","H_unsyncopated","-19","0.417","0.783923"
"1","H_unsyncopated","-19","0.833","0.522798"
"1","H_unsyncopated","-19","1.25","0.365314"
"1","H_unsyncopated","-19","1.667","0.55798"
"1","H_unsyncopated","-19","2.083","0.225985"
"1","H_unsyncopated","-19","2.5","0.586353"
"1","H_unsyncopated","-19","2.917","0.16621"
"1","H_unsyncopated","-19","3.333","0.383271"
"1","H_unsyncopated","-19","3.75","0.077533"
"1","H_unsyncopated","-19","4.167","0.186194"
"1","H_unsyncopated","-19","4.583","0.663008"
"1","H_unsyncopated","-19","5","0.203557"
"1","H_unsyncopated","-18","0.417","0.79927"
"1","H_unsyncopated","-18","0.833","0.339643"
"1","H_unsyncopated","-18","1.25","0.09421"
"1","H_unsyncopated","-18","1.667","0.100173"
"1","H_unsyncopated","-18","2.083","0.557845"
"1","H_unsyncopated","-18","2.5","0.331959"
"1","H_unsyncopated","-18","2.917","0.474105"
"1","H_unsyncopated","-18","3.333","0.29411"
"1","H_unsyncopated","-18","3.75","0.39814"
"1","H_unsyncopated","-18","4.167","0.231648"
"1","H_unsyncopated","-18","4.583","0.120622"
"1","H_unsyncopated","-18","5","0.355314"
"1","H_unsyncopated","-17","0.417","0.71221"
"1","H_unsyncopated","-17","0.833","0.463201"
"1","H_unsyncopated","-17","1.25","0.513833"
"1","H_unsyncopated","-17","1.667","0.370037"
"1","H_unsyncopated","-17","2.083","0.128998"
"1","H_unsyncopated","-17","2.5","0.273849"
"1","H_unsyncopated","-17","2.917","0.330119"
